ItemId;Matches with reference;Matches without reference;Partial matches with reference;Partial matches without reference;Mismatches with reference;Mismatches without reference;Matches;Partials;Mismatches;Partials/Partials+Mismatches;;;;
Q15;0;0;0;0;1;0;0;0;1;0;;;;
Q16;0;0;0;0;0;1;0;0;1;0;;;Matches;95
Q17;0;0;0;0;0;1;0;0;1;0;;;Mismatches;17893
Q20;0;0;0;0;1;0;0;0;1;0;;;Partials;0
Q21;0;0;0;0;1;0;0;0;1;0;;;;
Q26;0;0;0;0;1;0;0;0;1;0;;;;
Q27;0;1;0;0;0;0;1;0;0;0;;;;
Q28;0;0;0;0;0;1;0;0;1;0;;;;
Q29;0;0;0;0;0;1;0;0;1;0;;;;
Q30;0;0;0;0;0;1;0;0;1;0;;;;
Q31;0;0;0;0;0;1;0;0;1;0;;;;
Q32;0;0;0;0;0;1;0;0;1;0;;;;
Q33;0;1;0;0;0;0;1;0;0;0;;;;
Q34;0;0;0;0;0;1;0;0;1;0;;;;
Q35;0;1;0;0;0;0;1;0;0;0;;;;
Q36;0;0;0;0;1;0;0;0;1;0;;;;
Q37;0;0;0;0;0;1;0;0;1;0;;;;
Q38;0;0;0;0;0;1;0;0;1;0;;;;
Q39;0;0;0;0;1;0;0;0;1;0;;;;
Q40;0;0;0;0;0;1;0;0;1;0;;;;
Q41;0;1;0;0;0;0;1;0;0;0;;;;
Q43;0;0;0;0;0;1;0;0;1;0;;;;
Q45;0;0;0;0;1;0;0;0;1;0;;;;
Q46;0;0;0;0;1;0;0;0;1;0;;;;
Q48;0;0;0;0;1;0;0;0;1;0;;;;
Q55;0;0;0;0;1;0;0;0;1;0;;;;
Q60;0;0;0;0;1;0;0;0;1;0;;;;
Q64;0;0;0;0;1;0;0;0;1;0;;;;
Q65;0;0;0;0;1;0;0;0;1;0;;;;
Q70;0;0;0;0;1;0;0;0;1;0;;;;
Q72;0;0;0;0;1;0;0;0;1;0;;;;
Q77;0;0;0;0;1;0;0;0;1;0;;;;
Q78;0;0;0;0;1;0;0;0;1;0;;;;
Q79;0;0;0;0;0;1;0;0;1;0;;;;
Q84;0;0;0;0;1;0;0;0;1;0;;;;
Q85;0;0;0;0;1;0;0;0;1;0;;;;
Q87;0;0;0;0;1;0;0;0;1;0;;;;
Q90;0;0;0;0;1;0;0;0;1;0;;;;
